"","sample_id","project","s_project","organ","marker","type","control_type","code","nb_reads","nb_motus","low_contamination_level","seqdepth_ok","nb_reads_postmetabaR","nb_motus_postmetabaR","name","family"
"DRYER_natura_leaf_16S_1_NA","DRYER_natura_leaf_16S_1_NA","DRYER","natura","leaf","16S","sample",NA,"1",10546,487,TRUE,TRUE,10224,434,"Iryanthera_hostmannii","Myristicaceae"
"DRYER_natura_leaf_16S_2_NA","DRYER_natura_leaf_16S_2_NA","DRYER","natura","leaf","16S","sample",NA,"2",16262,549,TRUE,TRUE,15700,500,"Eperua_falcata","Fabaceae"
"DRYER_natura_leaf_16S_3_NA","DRYER_natura_leaf_16S_3_NA","DRYER","natura","leaf","16S","sample",NA,"3",8662,522,TRUE,TRUE,8242,475,"Jacaranda_copaia","Bignoniaceae"
"DRYER_natura_leaf_16S_4_NA","DRYER_natura_leaf_16S_4_NA","DRYER","natura","leaf","16S","sample",NA,"4",7758,499,TRUE,TRUE,7503,458,"Tachigali_melinonii","Fabaceae"
"DRYER_natura_leaf_16S_5_NA","DRYER_natura_leaf_16S_5_NA","DRYER","natura","leaf","16S","sample",NA,"5",11691,569,TRUE,TRUE,11117,521,"Symphonia_globulifera","Clusiaceae"
"DRYER_natura_leaf_16S_6_NA","DRYER_natura_leaf_16S_6_NA","DRYER","natura","leaf","16S","sample",NA,"6",9698,566,TRUE,TRUE,9248,518,"Symphonia_globulifera","Clusiaceae"
"DRYER_natura_leaf_16S_7_NA","DRYER_natura_leaf_16S_7_NA","DRYER","natura","leaf","16S","sample",NA,"7",12383,491,TRUE,TRUE,11824,434,"Iryanthera_hostmannii","Myristicaceae"
"DRYER_natura_leaf_16S_8_NA","DRYER_natura_leaf_16S_8_NA","DRYER","natura","leaf","16S","sample",NA,"8",5494,532,TRUE,TRUE,5162,488,"Symphonia_globulifera","Clusiaceae"
"DRYER_natura_leaf_16S_9_NA","DRYER_natura_leaf_16S_9_NA","DRYER","natura","leaf","16S","sample",NA,"9",11696,552,TRUE,TRUE,11234,507,"Iryanthera_hostmannii","Myristicaceae"
"DRYER_natura_leaf_16S_10_NA","DRYER_natura_leaf_16S_10_NA","DRYER","natura","leaf","16S","sample",NA,"10",6971,548,TRUE,TRUE,6572,501,"Symphonia_globulifera","Clusiaceae"
"DRYER_natura_leaf_16S_11_NA","DRYER_natura_leaf_16S_11_NA","DRYER","natura","leaf","16S","sample",NA,"11",5969,462,TRUE,TRUE,5468,405,"Symphonia_globulifera","Clusiaceae"
"DRYER_natura_leaf_16S_13_NA","DRYER_natura_leaf_16S_13_NA","DRYER","natura","leaf","16S","sample",NA,"13",16607,559,TRUE,TRUE,16052,506,"Pterocarpus_officinalis","Fabaceae"
"DRYER_natura_leaf_16S_14_NA","DRYER_natura_leaf_16S_14_NA","DRYER","natura","leaf","16S","sample",NA,"14",16669,581,TRUE,TRUE,16035,532,"Pterocarpus_officinalis","Fabaceae"
"DRYER_natura_leaf_16S_15_NA","DRYER_natura_leaf_16S_15_NA","DRYER","natura","leaf","16S","sample",NA,"15",8044,500,TRUE,TRUE,7321,444,"Symphonia_globulifera","Clusiaceae"
