"","sample_id","project","s_project","organ","marker","type","control_type","code","nb_reads","nb_motus","low_contamination_level","seqdepth_ok","nb_reads_postmetabaR","nb_motus_postmetabaR"
"DRYER_natura_leaf_ITS2_1_NA","DRYER_natura_leaf_ITS2_1_NA","DRYER","natura","leaf","ITS2","sample",NA,"1",14296,1227,TRUE,TRUE,14193,1186
"DRYER_natura_leaf_ITS2_2_NA","DRYER_natura_leaf_ITS2_2_NA","DRYER","natura","leaf","ITS2","sample",NA,"2",20177,681,TRUE,TRUE,19316,635
"DRYER_natura_leaf_ITS2_3_NA","DRYER_natura_leaf_ITS2_3_NA","DRYER","natura","leaf","ITS2","sample",NA,"3",12910,733,TRUE,TRUE,12742,686
"DRYER_natura_leaf_ITS2_4_NA","DRYER_natura_leaf_ITS2_4_NA","DRYER","natura","leaf","ITS2","sample",NA,"4",16395,746,TRUE,TRUE,16302,713
"DRYER_natura_leaf_ITS2_5_NA","DRYER_natura_leaf_ITS2_5_NA","DRYER","natura","leaf","ITS2","sample",NA,"5",14234,788,TRUE,TRUE,14115,750
"DRYER_natura_leaf_ITS2_6_NA","DRYER_natura_leaf_ITS2_6_NA","DRYER","natura","leaf","ITS2","sample",NA,"6",19322,927,TRUE,TRUE,19151,889
"DRYER_natura_leaf_ITS2_7_NA","DRYER_natura_leaf_ITS2_7_NA","DRYER","natura","leaf","ITS2","sample",NA,"7",22689,699,TRUE,TRUE,22551,676
"DRYER_natura_leaf_ITS2_8_NA","DRYER_natura_leaf_ITS2_8_NA","DRYER","natura","leaf","ITS2","sample",NA,"8",9593,431,TRUE,TRUE,9407,402
"DRYER_natura_leaf_ITS2_9_NA","DRYER_natura_leaf_ITS2_9_NA","DRYER","natura","leaf","ITS2","sample",NA,"9",12718,849,TRUE,TRUE,12602,797
"DRYER_natura_leaf_ITS2_10_NA","DRYER_natura_leaf_ITS2_10_NA","DRYER","natura","leaf","ITS2","sample",NA,"10",9892,649,TRUE,TRUE,9544,604
"DRYER_natura_leaf_ITS2_11_NA","DRYER_natura_leaf_ITS2_11_NA","DRYER","natura","leaf","ITS2","sample",NA,"11",19845,848,TRUE,TRUE,19759,801
"DRYER_natura_leaf_ITS2_12_NA","DRYER_natura_leaf_ITS2_12_NA","DRYER","natura","leaf","ITS2","sample",NA,"12",17925,688,TRUE,TRUE,17795,644
"DRYER_natura_leaf_ITS2_13_NA","DRYER_natura_leaf_ITS2_13_NA","DRYER","natura","leaf","ITS2","sample",NA,"13",17294,639,TRUE,TRUE,17047,596
"DRYER_natura_leaf_ITS2_14_NA","DRYER_natura_leaf_ITS2_14_NA","DRYER","natura","leaf","ITS2","sample",NA,"14",20868,694,TRUE,TRUE,20577,651
"DRYER_natura_leaf_ITS2_15_NA","DRYER_natura_leaf_ITS2_15_NA","DRYER","natura","leaf","ITS2","sample",NA,"15",11680,354,TRUE,TRUE,11473,324
"DRYER_natura_leaf_ITS2_16_NA","DRYER_natura_leaf_ITS2_16_NA","DRYER","natura","leaf","ITS2","sample",NA,"16",7028,414,TRUE,TRUE,6317,361
"DRYER_natura_leaf_ITS2_17_NA","DRYER_natura_leaf_ITS2_17_NA","DRYER","natura","leaf","ITS2","sample",NA,"17",54305,965,TRUE,TRUE,54175,924
